account_name,category
Compliance Penalty Expense,penalty
Compliance Penalty Cost,penalty
Late Filing Penalty,penalty
Late Filing Penalty - India,penalty
Late Filing Penalty - US,penalty
Late Filing Penalty FY2024,penalty
Late Filing Penalty Expense,penalty
Late Filing Penalty Cost,penalty
Depreciation Expense,depreciation
Depreciation Expense - India,depreciation
Depreciation Expense - US,depreciation
Depreciation Expense FY2024,depreciation
Depreciation Expense Expense,depreciation
Depreciation Expense Cost,depreciation
Amortization Expense,depreciation
Amortization Expense - India,depreciation
Amortization Expense - US,depreciation
Amortization Expense FY2024,depreciation
Amortization Expense Expense,depreciation
Amortization Expense Cost,depreciation
Asset Depreciation,depreciation
Asset Depreciation - India,depreciation
Asset Depreciation - US,depreciation
Asset Depreciation FY2024,depreciation
Asset Depreciation Expense,depreciation
Asset Depreciation Cost,depreciation
Equipment Depreciation,depreciation
Equipment Depreciation - India,depreciation
Equipment Depreciation - US,depreciation
Equipment Depreciation FY2024,depreciation
Equipment Depreciation Expense,depreciation
Equipment Depreciation Cost,depreciation
Charitable Donations,charity
Charitable Donations - India,charity
Charitable Donations - US,charity
Charitable Donations FY2024,charity
Charitable Donations Expense,charity
Charitable Donations Cost,charity
Donations,charity
Donations - India,charity
Donations - US,charity
Donations FY2024,charity
Donations Expense,charity
Donations Cost,charity
CSR Expense,charity
CSR Expense - India,charity
CSR Expense - US,charity
CSR Expense FY2024,charity
CSR Expense Expense,charity
CSR Expense Cost,charity
Community Donation,charity
Community Donation - India,charity
Community Donation - US,charity
Community Donation FY2024,charity
Community Donation Expense,charity
Community Donation Cost,charity
Cost of Goods Sold,cogs
Cost of Goods Sold - India,cogs
Cost of Goods Sold - US,cogs
Cost of Goods Sold FY2024,cogs
Cost of Goods Sold Expense,cogs
Cost of Goods Sold Cost,cogs
COGS,cogs
COGS - India,cogs
COGS - US,cogs
COGS FY2024,cogs
COGS Expense,cogs
COGS Cost,cogs
Inventory Cost,cogs
Inventory Cost - India,cogs
Inventory Cost - US,cogs
Inventory Cost FY2024,cogs
Inventory Cost Expense,cogs
Inventory Cost Cost,cogs
Raw Material Cost,cogs
Raw Material Cost - India,cogs
Raw Material Cost - US,cogs
Raw Material Cost FY2024,cogs
Raw Material Cost Expense,cogs
Raw Material Cost Cost,cogs
Production Cost,cogs
Production Cost - India,cogs
Production Cost - US,cogs
Production Cost FY2024,cogs
Production Cost Expense,cogs
Production Cost Cost,cogs
Capital Equipment,asset
Capital Equipment - India,asset
Capital Equipment - US,asset
Capital Equipment FY2024,asset
Capital Equipment Expense,asset
Capital Equipment Cost,asset
Office Furniture,asset
Office Furniture - India,asset
Office Furniture - US,asset
Office Furniture FY2024,asset
Office Furniture Expense,asset
Office Furniture Cost,asset
Computer Equipment,asset
Computer Equipment - India,asset
Computer Equipment - US,asset
Computer Equipment FY2024,asset
Computer Equipment Expense,asset
Computer Equipment Cost,asset
Machinery,asset
Machinery - India,asset
Machinery - US,asset
Machinery FY2024,asset
Machinery Expense,asset
Machinery Cost,asset
IT Hardware,asset
IT Hardware - India,asset
IT Hardware - US,asset
IT Hardware FY2024,asset
IT Hardware Expense,asset
IT Hardware Cost,asset
Dividends Paid,non_deductible
Dividends Paid - India,non_deductible
Dividends Paid - US,non_deductible
Dividends Paid FY2024,non_deductible
Dividends Paid Expense,non_deductible
Dividends Paid Cost,non_deductible
Owner Draw,non_deductible
Owner Draw - India,non_deductible
Owner Draw - US,non_deductible
Owner Draw FY2024,non_deductible
Owner Draw Expense,non_deductible
Owner Draw Cost,non_deductible
Personal Expense,non_deductible
Personal Expense - India,non_deductible
Personal Expense - US,non_deductible
Personal Expense FY2024,non_deductible
Personal Expense Expense,non_deductible
Personal Expense Cost,non_deductible
Non Business Expense,non_deductible
Non Business Expense - India,non_deductible
Non Business Expense - US,non_deductible
Non Business Expense FY2024,non_deductible
Non Business Expense Expense,non_deductible
Non Business Expense Cost,non_deductible
